pid,gender,rank,rank_s,rank_cj,name,born,nation,category,bweight,snatch1,snatch2,snatch3,snatch,jerk1,jerk2,jerk3,jerk,total,event,date
205,W,9,11,6,HELGADOTTIR Thuridur Erla,30.07.1991,ISL,59,58.22,80,83,*85,83,100,104,108,108,191,EUROPEAN CHAMPIONSHIPS,4.2021
206,W,10,9,11,BIJLEVELD Sanne,14.09.1993,NED,59,58.46,82,85,*87,85,105,*109,*110,105,190,EUROPEAN CHAMPIONSHIPS,4.2021
207,W,11,10,12,WAALER Sol Anette,14.08.1992,NOR,59,58.64,83,85,*87,85,103,105,*107,105,190,EUROPEAN CHAMPIONSHIPS,4.2021
208,W,12,12,10,SKANDI EL ASAAD Mouna,10.01.1992,ESP,59,59,*79,79,82,82,103,106,*108,106,188,EUROPEAN CHAMPIONSHIPS,4.2021
209,W,13,15,9,SZYMNEK Monika Malgorzata,06.01.2002,POL,59,58.66,*78,78,*81,78,102,106,*110,106,184,EUROPEAN CHAMPIONSHIPS,4.2021
210,W,14,13,14,AARSTEN Amalie Loevind,25.04.1994,DEN,59,58.3,78,*81,*81,78,98,101,*104,101,179,EUROPEAN CHAMPIONSHIPS,4.2021
211,W,15,14,16,LEBBE Nathalie Marie B,22.05.1992,BEL,59,58.76,75,78,*81,78,95,*99,100,100,178,EUROPEAN CHAMPIONSHIPS,4.2021
212,W,16,17,17,ARVA Cintia Andrea,31.12.2002,HUN,59,58.64,68,*71,*71,73,91,94,*96,85,158,EUROPEAN CHAMPIONSHIPS,4.2021
213,W,17,16,18,GORISEK Ivana,04.02.1985,CRO,59,58.64,69,73,*76,73,85,*88,*88,85,158,EUROPEAN CHAMPIONSHIPS,4.2021
214,W,___,___,15,MEISTER Scheila,02.05.1987,SUI,59,57.9,*77,*78,*78,___,95,100,*103,100,___,EUROPEAN CHAMPIONSHIPS,4.2021
215,W,DSQ,DSQ,DSQ,KOSTOVA Boyanka Minkova,10.05.1993,AZE,59,58.74,92,95,*97,___,111,*116,116,___,___,EUROPEAN CHAMPIONSHIPS,4.2021
216,W,1,1,1,TOMA Loredana-Elena,10.05.1995,ROU,64,63.9,101,107,114,114,123,130,*137,130,244,EUROPEAN CHAMPIONSHIPS,4.2021
217,W,2,2,2,DAVIES Sarah,19.08.1992,GBR,64,63.7,96,98,101,101,122,126,129,129,230,EUROPEAN CHAMPIONSHIPS,4.2021
218,W,3,3,3,ANZOROVA Anastasiia,22.04.1996,RUS,64,63.94,94,97,100,100,122,126,129,122,222,EUROPEAN CHAMPIONSHIPS,4.2021
219,W,4,4,4,SCHWEIZER Lisa Maire,18.07.1995,GER,64,63.38,*97,97,100,100,118,*121,*121,118,218,EUROPEAN CHAMPIONSHIPS,4.2021
220,W,5,5,7,LEVENT Nuray,08.05.2000,TUR,64,63.8,94,*97,98,98,*115,115,*120,115,213,EUROPEAN CHAMPIONSHIPS,4.2021
221,W,6,8,5,VIJOHIJOKI Anni Teija Orvokki,24.05.1988,FIN,64,63.74,94,*96,*96,94,115,118,*120,118,212,EUROPEAN CHAMPIONSHIPS,4.2021
222,W,7,9,6,KUSTERER Sabine Beate,04.01.1991,GER,64,63.3,*94,94,*97,94,113,116,*118,116,210,EUROPEAN CHAMPIONSHIPS,4.2021
223,W,8,6,8,KONDRASHOVA Iana,25.08.1992,RUS,64,63.4,93,*96,96,96,113,*118,*118,113,209,EUROPEAN CHAMPIONSHIPS,4.2021
224,W,9,7,10,GHERMAN Daniela Mariana,23.09.1997,SWE,64,63.14,*95,95,*98,95,110,*115,*115,110,205,EUROPEAN CHAMPIONSHIPS,4.2021
225,W,10,11,9,WOLK Wiktoria Krystyna,10.03.2001,POL,64,63.28,85,89,*93,89,105,*110,110,110,199,EUROPEAN CHAMPIONSHIPS,4.2021
226,W,11,10,12,ARDALSBAKKE Marit,11.05.1992,NOR,64,63.66,87,90,93,93,*105,105,*108,105,198,EUROPEAN CHAMPIONSHIPS,4.2021
227,W,12,12,11,ADOLFSSON Jenny Ji,18.05.1982,SWE,64,63.88,82,85,87,87,103,*108,108,108,195,EUROPEAN CHAMPIONSHIPS,4.2021
228,W,13,13,13,POULSEN Amanda Novakowska,19.12.1992,DEN,64,62.24,*83,83,*87,83,*102,102,105,105,188,EUROPEAN CHAMPIONSHIPS,4.2021
229,W,14,14,14,MARTINEZ Garoa,24.09.1997,ESP,64,63.28,78,82,*87,82,100,*105,*105,100,182,EUROPEAN CHAMPIONSHIPS,4.2021
230,W,15,16,15,PUDIVITROVA Eliska,25.03.1994,CZE,64,62.74,76,*79,81,81,96,100,*103,100,181,EUROPEAN CHAMPIONSHIPS,4.2021
231,W,16,15,17,SAARHELO Marianne Ellen Vihelmiina,16.02.1994,FIN,64,63.94,*78,78,81,81,98,*102,*103,98,179,EUROPEAN CHAMPIONSHIPS,4.2021
232,W,17,18,16,SIGURDARDOTTIR Amalia Osk,02.08.1997,ISL,64,62.7,74,*78,79,79,*98,*99,100,100,179,EUROPEAN CHAMPIONSHIPS,4.2021
233,W,18,17,18,PROKIC Aleksandra,26.10.1989,SRB,64,62.28,76,80,*83,80,96,*100,*100,96,170,EUROPEAN CHAMPIONSHIPS,4.2021
234,W,19,19,19,KALO Sarit,13.09.1990,ISR,64,63.54,*75,75,*79,75,95,*99,*99,95,170,EUROPEAN CHAMPIONSHIPS,4.2021
235,W,1,2,1,GODLEY Emily Victoria(ENG),22.10.1989,GBR,71,70.42,94,*97,98,98,122,129,*132,129,227,EUROPEAN CHAMPIONSHIPS,4.2021
236,W,2,3,2,DURANTE Alessia,14.05.1999,ITA ,71,66.54,93,96,97,97,115,120,122,122,219,EUROPEAN CHAMPIONSHIPS,4.2021
237,W,3,1,4,OLARU Raluca-Andreea,26.01.2001,ROU,71,66.5,94,*97,98,98,112,117,120,120,218,EUROPEAN CHAMPIONSHIPS,4.2021
238,W,4,6,5,HERNANDEZ MARTIN Ilia,21.04.1998,ESP,71,70.6,90,*93,93,93,116,*119,119,119,212,EUROPEAN CHAMPIONSHIPS,4.2021
239,W,5,7,6,BRAZAITE Gintare,19.08.1992,LTU,71,70.12,92,*94,*95,92,110,115,118,118,210,EUROPEAN CHAMPIONSHIPS,4.2021
240,W,6,16,3,ALTUN Berfin,01.11.1999,TUR,71,65.38,85,88,*90,88,115,119,121,121,209,EUROPEAN CHAMPIONSHIPS,4.2021
241,W,7,8,9,PRISCEPA Natalia,17.10.1989,MDA,71,70.72,*92,*92,92,92,110,114,*117,114,206,EUROPEAN CHAMPIONSHIPS,4.2021
242,W,8,9,8,SHCHAPANAVA Alina,12.04.2000,HUN,71,70.36,85,89,91,91,107,112,114,114,205,EUROPEAN CHAMPIONSHIPS,4.2021
243,W,9,4,18,MITYKO Veronika,26.07.2000,HUN,71,70.36,*90,90,96,96,103,106,*108,106,202,EUROPEAN CHAMPIONSHIPS,4.2021
244,W,10,12,11,ANGONESE Manon,28.12.1992,BEL,71,69.66,86,89,*91,89,107,110,112,112,201,EUROPEAN CHAMPIONSHIPS,4.2021
245,W,11,15,10,KACZMARZYK Andzelika,05.05.2002,POL,71,70.96,*85,85,88,88,110,113,*116,113,201,EUROPEAN CHAMPIONSHIPS,4.2021
246,W,12,18,7,KOURTELIDOU Eleni,14.04.1985,GRE,71,70.52,86,*90,*90,86,109,112,115,115,201,EUROPEAN CHAMPIONSHIPS,4.2021
247,W,13,11,13,DZMIDAVETS Liubou,07.03.2001,BLR,71,70.56,85,89,*91,89,105,108,111,111,200,EUROPEAN CHAMPIONSHIPS,4.2021
248,W,14,10,15,HORNA IVANA,31.08.1990,SVK,71,70.88,86,89,91,91,*107,108,*112,108,199,EUROPEAN CHAMPIONSHIPS,4.2021
249,W,15,20,12,TOLSTRUP Laura Vest,12.09.1997,DEN,71,70.2,82,85,*88,85,105,108,111,111,196,EUROPEAN CHAMPIONSHIPS,4.2021
250,W,16,17,14,FOMINA Anna,31.03.1998,SWE,71,67.82,86,87,*95,87,109,*115,*116,109,196,EUROPEAN CHAMPIONSHIPS,4.2021
251,W,17,13,16,GUDE Line,19.02.1998,DEN,71,69.7,82,85,88,88,102,*106,107,107,195,EUROPEAN CHAMPIONSHIPS,4.2021
252,W,18,19,19,HAHN Victoria,17.03.1993,AUT,71,70.78,86,*89,*90,86,*105,105,*109,105,191,EUROPEAN CHAMPIONSHIPS,4.2021
253,W,19,21,17,RONDZIKOVA Nina,22.01.1995,SVK,71,68.66,*85,85,*89,85,103,106,*109,106,191,EUROPEAN CHAMPIONSHIPS,4.2021
254,W,20,14,22,ZAMMIT STEVENS Yasmin,21.04.1993,MLT,71,69.74,83,86,88,88,*102,102,*104,102,190,EUROPEAN CHAMPIONSHIPS,4.2021
255,W,21,23,20,ROSINSKA Yevheniia,30.03.2003,UKR,71,70.36,83,*86,*86,83,104,*107,*109,104,187,EUROPEAN CHAMPIONSHIPS,4.2021
256,W,22,24,21,HERTLOVA Simona,04.03.1993,CZE,71,69.54,82,*86,*86,82,100,104,*107,104,186,EUROPEAN CHAMPIONSHIPS,4.2021
257,W,23,22,24,OHMAN Marina,02.01.1983,ISR,71,70.94,81,84,*87,84,95,100,*102,100,184,EUROPEAN CHAMPIONSHIPS,4.2021
258,W,24,25,23,BJELIC Sonja,17.07.1999,SRB,71,69.78,80,*85,*86,80,100,*105,*105,100,180,EUROPEAN CHAMPIONSHIPS,4.2021
259,W,___,5,___,KIREVA Maria-Magdalena Kirilova,09.03.2001,BUL,71,70.7,92,95,*97,95,*108,*108,___,___,___,EUROPEAN CHAMPIONSHIPS,4.2021
260,W,1,1,1,DEKHA Iryna,14.03.1996,UKR,76,75.94,110,113,*115,113,130,*135,135,135,248,EUROPEAN CHAMPIONSHIPS,4.2021
261,W,2,2,2,SOTIEVA Iana,26.06.2002,RUS,76,75.78,105,110,112,112,130,134,*137,134,246,EUROPEAN CHAMPIONSHIPS,4.2021
262,W,3,3,4,ROMANOVA Anastasiia,02.10.1991,RUS,76,72.06,106,111,*114,111,125,130,132,132,243,EUROPEAN CHAMPIONSHIPS,4.2021
263,W,4,4,3,NAUMAVA Darya,26.08.1995,BLR,76,75.44,100,106,108,108,127,132,*136,132,240,EUROPEAN CHAMPIONSHIPS,4.2021
264,W,5,5,5,STRENIUS Patricia Caroline,23.11.1989,SWE,76,74.68,100,104,*107,104,130,*135,*135,130,234,EUROPEAN CHAMPIONSHIPS,4.2021
265,W,6,8,6,LITOSHYK Ryna,29.06.2004,BLR,76,75.46,90,*95,95,95,110,117,121,121,216,EUROPEAN CHAMPIONSHIPS,4.2021
266,W,7,6,8,WIOR Jolanta Malgorzata,22.09.1995,POL,76,73.98,94,97,99,99,116,*121,*122,116,215,EUROPEAN CHAMPIONSHIPS,4.2021
267,W,8,7,7,RIEGER Patricia,25.08.1987,GER,76,75.74,95,*100,*100,95,116,120,*123,120,215,EUROPEAN CHAMPIONSHIPS,4.2021
268,W,9,10,9,HORVATH Laura,21.03.1997,HUN,76,75.34,86,89,*91,89,108,*111,111,111,200,EUROPEAN CHAMPIONSHIPS,4.2021
269,W,10,9,10,ANDREASEN Clara,01.09.1997,DEN,76,75.76,87,90,*93,90,103,105,*107,105,195,EUROPEAN CHAMPIONSHIPS,4.2021
270,W,11,11,11,PEDERSEN Mette Fasmila,03.12.1993,DEN,76,73.82,80,83,*86,83,98,101,*103,101,184,EUROPEAN CHAMPIONSHIPS,4.2021
271,W,1,1,3,MARUSHCHAK Alina,96.03.1997,UKR,81,77.62,103,106,109,109,122,127,*131,127,236,EUROPEAN CHAMPIONSHIPS,4.2021
272,W,2,4,1,NAYO KETCHANKE Gaelle Verlaine,20.04.1988,FRA,81,80.3,96,*100,100,100,126,*131,131,131,231,EUROPEAN CHAMPIONSHIPS,4.2021
273,W,3,6,2,GYURJYAN Liana,13.06.2002,ARM,81,80.26,94,98,*100,98,121,125,129,129,227,EUROPEAN CHAMPIONSHIPS,4.2021
274,W,4,3,6,KAYA Rabia,05.12.1994,TUR,81,77.9,*96,96,100,100,115,*120,120,120,220,EUROPEAN CHAMPIONSHIPS,4.2021
275,W,5,2,7,SCHROTH Nina,16.08.1991,GER,81,80.52,97,100,*102,100,115,118,*121,118,218,EUROPEAN CHAMPIONSHIPS,4.2021
276,W,6,7,4,UCAN Dilara,15.04.2002,TUR,81,76.34,95,97,*99,97,116,121,*124,121,216,EUROPEAN CHAMPIONSHIPS,4.2021
277,W,7,8,5,ZIELINSKA Weronika,16.05.1997,POL,81,79.16,95,*99,*99,95,*118,*118,121,121,216,EUROPEAN CHAMPIONSHIPS,4.2021
278,W,8,5,8,SAZANAVETS Dzina,25.10.1990,BLR,81,78.5,95,99,*101,99,116,*121,*121,116,215,EUROPEAN CHAMPIONSHIPS,4.2021
279,W,9,9,9,RUBANOVICH Nikol Bella,09.05.1998,ISR,81,78.9,*95,95,*100,95,110,115,*119,115,210,EUROPEAN CHAMPIONSHIPS,4.2021
280,W,10,10,10,SENICOVA Nikola,27.05.2000,SVK,81,80.14,86,90,93,93,*108,109,114,114,207,EUROPEAN CHAMPIONSHIPS,4.2021
281,W,11,11,14,SZUROMI Timea Reka,30.10.1983,HUN,81,80.64,*92,92,*96,92,110,*116,*116,110,202,EUROPEAN CHAMPIONSHIPS,4.2021
282,W,12,12,13,GADELIA Natia,07.06.2004,GEO,81,78.9,85,89,91,91,105,111,*115,111,202,EUROPEAN CHAMPIONSHIPS,4.2021
283,W,13,13,11,MINKOVA Dziyana,07.03.2001,BLR,81,79.58,85,*89,89,89,112,*117,*117,112,201,EUROPEAN CHAMPIONSHIPS,4.2021
284,W,14,14,12,SKLENICKOVA Michaela,07.05.1992,CZE,81,78.14,*82,82,86,86,108,112,*115,112,198,EUROPEAN CHAMPIONSHIPS,4.2021
285,W,1,2,2,AKHMEROVA Darya,14.04.1999,KAZ,87,85.02,103,106,108,108,132,136,138,138,246,EUROPEAN CHAMPIONSHIPS,4.2021
286,W,2,3,1,CLICIC Elena,03.06.1996,MDA,87,84.96,103,107,*110,107,129,134,138,138,245,EUROPEAN CHAMPIONSHIPS,4.2021
287,W,3,4,4,RIAZANOVA Daria,24.08.2000,RUS,87,85.88,100,*105,105,105,128,133,135,135,240,EUROPEAN CHAMPIONSHIPS,4.2021
288,W,4,1,5,HOTFRID Anastasiia,25.04.1996,GEO,87,86.54,108,111,*113,111,128,*132,*132,128,239,EUROPEAN CHAMPIONSHIPS,4.2021
289,W,5,8,3,KOANDA Solfrid,13.11.1998,NOR,87,86.36,95,100,*104,100,125,130,135,135,235,EUROPEAN CHAMPIONSHIPS,4.2021
290,W,6,6,6,KACZMARCYZK Kinga,10.07.1997,POL,87,86.92,100,103,*105,103,127,*132,*132,127,230,EUROPEAN CHAMPIONSHIPS,4.2021
291,W,7,9,7,FISCHER Sarah,09.11.2000,AUT,87,86.42,95,99,*102,99,118,*123,123,123,222,EUROPEAN CHAMPIONSHIPS,4.2021
292,W,8,5,11,KISIL Valentyna,05.07.1998,UKR,87,86.62,100,104,*108,104,117,*122,*122,117,221,EUROPEAN CHAMPIONSHIPS,4.2021
293,W,9,7,9,HAKOBYAN Tatev,21.03.1996,ARM,87,86.7,101,*106,*106,101,120,*126,*129,120,221,EUROPEAN CHAMPIONSHIPS,4.2021
294,W,10,12,8,ILMARINEN Meri Tuuli Linnea,04.01.1991,FIN,87,81.2,90,92,94,97,117,120,121,121,215,EUROPEAN CHAMPIONSHIPS,4.2021
295,W,11,10,10,VENNEKILDE Marie Louise,03.01.1986,DEN,87,86.52,95,*99,*101,95,116,119,*121,119,214,EUROPEAN CHAMPIONSHIPS,4.2021
296,W,12,11,12,JUNHOV-RINDBERG Paula Maria,02.03.1988,SWE,87,85.52,92,*95,95,95,108,113,*115,113,208,EUROPEAN CHAMPIONSHIPS,4.2021
297,W,13,13,13,ZAKHARCHUK Ina,02.09.2000,BLR,87,85.48,*87,87,___,87,106,109,111,111,198,EUROPEAN CHAMPIONSHIPS,4.2021
298,W,14,14,14,BOROS Viktoria,22.07.2001,HUN,87,83.5,*85,85,*90,85,107,*111,*111,107,192,EUROPEAN CHAMPIONSHIPS,4.2021
299,W,1,1,1,CAMPBELL Emily Jade,06.05.1994,GBR,87+,122.06,115,117,122,122,145,150,154,154,276,EUROPEAN CHAMPIONSHIPS,4.2021
300,W,2,2,2,LYSENK Anastasiia,02.12.1995,UKR,87+,100.88,106,109,116,116,131,136,___,136,252,EUROPEAN CHAMPIONSHIPS,4.2021
301,W,3,3,3,GUNAL Melike,05.04.1998,TUR,87+,114.18,105,*108,108,108,130,*135,135,135,243,EUROPEAN CHAMPIONSHIPS,4.2021
302,W,4,6,4,DALALYAN Arpine,18.02.1999,ARM,87+,110.44,*95,*95,95,95,126,___,___,126,221,EUROPEAN CHAMPIONSHIPS,4.2021
303,W,5,5,5,BOYNUEGRI Tugce,12.10.1998,TUR,87+,87.86,90,95,100,100,110,116,120,120,220,EUROPEAN CHAMPIONSHIPS,4.2021
304,W,6,4,6,HRASNOVA Martina,21.03.1983,SVK,87+,90.56,*99,99,103,103,112,116,*120,116,219,EUROPEAN CHAMPIONSHIPS,4.2021
305,W,7,7,9,VANBELLINGHEN Anna Marie-J A M,10.03.1994,BEL,87+,87.2,*90,90,94,94,107,111,114,114,208,EUROPEAN CHAMPIONSHIPS,4.2021
306,W,8,9,7,BORODINA Krystyna,19.08.1999,UKR,87+,88.84,*85,85,88,88,110,113,116,116,204,EUROPEAN CHAMPIONSHIPS,4.2021
307,W,9,8,8,ANDREIKAVETS Katsiaryna,21.09.2001,BLR,87+,92.78,85,89,*91,89,107,111,114,114,203,EUROPEAN CHAMPIONSHIPS,4.2021
308,W,10,10,10,BAZSO Bianka,24.01.1988,HUN,87+,88.12,83,*87,*87,83,109,113,*115,113,196,EUROPEAN CHAMPIONSHIPS,4.2021
309,W,11,12,11,KRALOVA Tereza,22.10.1989,CZE,87+,97.68,80,*83,*84,80,100,105,107,107,187,EUROPEAN CHAMPIONSHIPS,4.2021
310,W,12,11,12,GYURUS Barbara,12.08.1998,HUN,87+,122.58,79,*83,83,83,99,103,*107,103,186,EUROPEAN CHAMPIONSHIPS,4.2021
